"BillType","BillNumber","CurrentStatus","LDOA","IntroDate","ActualBillNumber","BillParty1","BillParty2","BillParty3","GovernorAction","GovernorDateOfAction","PamphletLaw","ChapterLaw","EffectOnStatutes","EffectiveDate","Codification","FirstPrime","SecondPrime","ThirdPrime","Synopsis","EfDateNote","IdenticalBillNumber","LastSessionFullBillNumber","OldBillNumber","ProposedDate","Abstract","ModDate","FNCertified"
"A  ",4,"APP",3/20/2024 0:00:00,1/9/2024 0:00:00,"A4 AcaSca (2R)","D","D","D","APP",3/20/2024 0:00:00,2024,2,,3/20/2024 0:00:00,"52:27D-304.1 to 52:27D-304.3 et al","Lopez, Yvonne ","Coughlin, Craig J.","Wimberly, Benjie E.","Reforms municipal responsibilities concerning provision of affordable housing; abolishes COAH; appropriates $16 million.","Shall apply to each new round of affordable housing obligations that begins following enactment.","S50 (2R)","A4 w/c S4251 w/c",,1/9/2024 0:00:00,"Affordable housing-reforms municipal responsibilities concerning provision;$16M",6/20/2024 0:00:00,"Y"
"A  ",101,"AED",1/9/2024 0:00:00,1/9/2024 0:00:00,"A101","R","D",,,,,,,,,"Guardian, Donald A.","Venezia, Michael ",,"Provides excused absence for public school student who participates in musical performance at military funeral, including playing ""Taps.""",,,"A257","A280",11/17/2023 0:00:00,"School student-excused absence, participation in military funeral playing ""Taps""",4/4/2024 0:00:00,"N"
"A  ",102,"AST",1/9/2024 0:00:00,1/9/2024 0:00:00,"A102","R",,,,,,,,,,"Guardian, Donald A.",,,"Provides corporation business tax credits and gross income tax credits to small business employers and farm employers for increases in certain mandatory employer contributions.",,"S605","A259 S98","A300 S533",1/5/2024 0:00:00,"Small business & farm employer-CBT & income tax cred, mandatory employer contrib",1/30/2024 0:00:00,"Y"
"A  ",103,"AHU",1/9/2024 0:00:00,1/9/2024 0:00:00,"A103","R",,,,,,,,,,"Guardian, Donald A.",,,"Provides gross income tax credit for certain taxpayers who pay tuition costs for nurse aide in long-term care facilities training program.",,,"A267","A1010",11/17/2023 0:00:00,"Nursing aide-financial assistance tax credit for costs associated w/training",2/5/2024 0:00:00,"Y"
"A  ",104,"ACE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A104","R",,,,,,,,,,"Guardian, Donald A.",,,"Permits sale of certain alcoholic beverages and related products at seasonal farm markets.",,,"A275","A2274 S1592",1/4/2024 0:00:00,"Farm markets, seasonal-permits sale of certain alcoholic beverages",2/5/2024 0:00:00,"N"
"A  ",105,"AHI",1/9/2024 0:00:00,1/9/2024 0:00:00,"A105","R",,,,,,,,,,"Guardian, Donald A.",,,"Authorizes Class Three special law enforcement officers to provide security at public and private colleges.",,"S166","A278 S2690","A2699",11/17/2023 0:00:00,"Class Three special law enforcement officers-prov. security at pub/priv colleges",1/10/2024 0:00:00,"N"
"A  ",106,"ACE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A106","R",,,,,,,,,,"Guardian, Donald A.",,,"Provides corporation business tax credits and gross income tax credits to farm employers for providing lodging or transportation benefits.",,"S603","A283 S96","A4036 S531",1/2/2024 0:00:00,"Farm employers-CBT & gross income tax credit, provide lodging & trans. benefits",1/30/2024 0:00:00,"Y"
"A  ",107,"ATG",1/9/2024 0:00:00,1/9/2024 0:00:00,"A107","R",,,,,,,,,,"Guardian, Donald A.",,,"Allows horse racetracks to be available for placing wagers at casinos in Atlantic City using Internet.",,,"A405","A624",11/17/2023 0:00:00,"Horse racetracks-allows wagers at casinos in Atlantic City using Internet",2/2/2024 0:00:00,"N"
"A  ",108,"ATG",1/9/2024 0:00:00,1/9/2024 0:00:00,"A108","R",,,,,,,,,,"Guardian, Donald A.",,,"Establishes penalties for accepting wagers on prohibited sports events.",,,"A413","A636",11/17/2023 0:00:00,"Sports events, prohibited-establish penalties for accepting wagers",1/31/2024 0:00:00,"Y"
"A  ",109,"ACE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A109","R",,,,,,,,,,"Guardian, Donald A.",,,"Establishes ""Business Tax and Incentive Task Force.""",,,"A1109","A1857",11/17/2023 0:00:00,"Business Tax and Incentive Task Force-establishes",11/17/2023 0:00:00,"N"
