BillType,BillNumber,CurrentStatus,LDOA,IntroDate,ActualBillNumber,BillParty1,BillParty2,BillParty3,GovernorAction,GovernorDateOfAction,PamphletLaw,ChapterLaw,EffectOnStatutes,EffectiveDate,Codification,FirstPrime,SecondPrime,ThirdPrime,Synopsis,EfDateNote,IdenticalBillNumber,LastSessionFullBillNumber,OldBillNumber,ProposedDate,Abstract,ModDate,FNCertified,billuuid
A  ,4,APP,2024-03-20,2024-01-09,A4 AcaSca (2R),D,D,D,APP,2024-03-20,2024.0,2.0,,2024-03-20,52:27D-304.1 to 52:27D-304.3 et al,"Lopez, Yvonne ","Coughlin, Craig J.","Wimberly, Benjie E.",Reforms municipal responsibilities concerning provision of affordable housing; abolishes COAH; appropriates $16 million.,Shall apply to each new round of affordable housing obligations that begins following enactment.,S50 (2R),A4 w/c S4251 w/c,,2024-01-09,Affordable housing-reforms municipal responsibilities concerning provision;$16M,2024-06-20,Y,da0ecff6-0edf-495f-b6d1-5484aa9e2342
A  ,101,AED,2024-01-09,2024-01-09,A101,R,D,,,,,,,,,"Guardian, Donald A.","Venezia, Michael ",,"Provides excused absence for public school student who participates in musical performance at military funeral, including playing ""Taps.""",,,A257,A280,2023-11-17,"School student-excused absence, participation in military funeral playing ""Taps""",2024-04-04,N,f871f936-c3af-4432-ada3-a3f1e951e4c6
A  ,102,AST,2024-01-09,2024-01-09,A102,R,,,,,,,,,,"Guardian, Donald A.",,,Provides corporation business tax credits and gross income tax credits to small business employers and farm employers for increases in certain mandatory employer contributions.,,S605,A259 S98,A300 S533,2024-01-05,"Small business & farm employer-CBT & income tax cred, mandatory employer contrib",2024-01-30,Y,34855356-97a6-4829-bb5c-353b1a7832ee
A  ,103,AHU,2024-01-09,2024-01-09,A103,R,,,,,,,,,,"Guardian, Donald A.",,,Provides gross income tax credit for certain taxpayers who pay tuition costs for nurse aide in long-term care facilities training program.,,,A267,A1010,2023-11-17,Nursing aide-financial assistance tax credit for costs associated w/training,2024-02-05,Y,af0dd78d-1f43-4df2-8811-067c8e835a09
A  ,104,ACE,2024-01-09,2024-01-09,A104,R,,,,,,,,,,"Guardian, Donald A.",,,Permits sale of certain alcoholic beverages and related products at seasonal farm markets.,,,A275,A2274 S1592,2024-01-04,"Farm markets, seasonal-permits sale of certain alcoholic beverages",2024-02-05,N,b2e0eefc-2f07-4062-b83e-017db2028728
A  ,105,AHI,2024-01-09,2024-01-09,A105,R,,,,,,,,,,"Guardian, Donald A.",,,Authorizes Class Three special law enforcement officers to provide security at public and private colleges.,,S166,A278 S2690,A2699,2023-11-17,Class Three special law enforcement officers-prov. security at pub/priv colleges,2024-01-10,N,3b493bed-dead-4d08-80aa-e798364c69cd
A  ,106,ACE,2024-01-09,2024-01-09,A106,R,,,,,,,,,,"Guardian, Donald A.",,,Provides corporation business tax credits and gross income tax credits to farm employers for providing lodging or transportation benefits.,,S603,A283 S96,A4036 S531,2024-01-02,"Farm employers-CBT & gross income tax credit, provide lodging & trans. benefits",2024-01-30,Y,6bf4068b-3d7d-4627-a2a1-9f221b4dc2f4
A  ,107,ATG,2024-01-09,2024-01-09,A107,R,,,,,,,,,,"Guardian, Donald A.",,,Allows horse racetracks to be available for placing wagers at casinos in Atlantic City using Internet.,,,A405,A624,2023-11-17,Horse racetracks-allows wagers at casinos in Atlantic City using Internet,2024-02-02,N,eaff5918-494c-4e6c-8c06-ace788cf62a0
A  ,108,ATG,2024-01-09,2024-01-09,A108,R,,,,,,,,,,"Guardian, Donald A.",,,Establishes penalties for accepting wagers on prohibited sports events.,,,A413,A636,2023-11-17,"Sports events, prohibited-establish penalties for accepting wagers",2024-01-31,Y,71068365-2896-44f6-ba9a-270dc294acd6
A  ,109,ACE,2024-01-09,2024-01-09,A109,R,,,,,,,,,,"Guardian, Donald A.",,,"Establishes ""Business Tax and Incentive Task Force.""",,,A1109,A1857,2023-11-17,Business Tax and Incentive Task Force-establishes,2023-11-17,N,572d6c6b-1c3c-42af-b5cc-d877db6f1851
